fov_key,dataset,filename,image_path,density_label,overlap_label,density_ord,overlap_ord,coverage,otsu_threshold,otsu_separability,saturation_score,lbp_entropy,glcm_contrast,edge_density_unmasked,tile_glcm_cv,tile_glcm_patchiness
initial-071626/dpc-235-KIT-62501048.png,initial-071626,dpc-235-KIT-62501048.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-235-KIT-62501048.png,monolayer,no rouleaux,1,0,0.14693890306122448,170.0,0.5543655558552684,0.06548103638892537,3.640659491092495,53.65567745411932,0.12847831632653062,0.09923159533494155,0.2101324563887927
initial-071626/dpc-105-KIT-62500652.png,initial-071626,dpc-105-KIT-62500652.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-105-KIT-62500652.png,slightly dense,some rouleaux,2,2,0.24996428571428572,169.0,0.5473122404273634,0.11315577247317442,4.06404934518075,76.1772077368406,0.1515015306122449,0.14703773476893922,0.23077144357047621
initial-071626/dpc-051-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,initial-071626,dpc-051-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-051-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,monolayer,slight rouleaux,1,1,0.7877729591836735,127.0,0.4430121423467099,0.43877997285290704,3.525410023223738,53.58834087456955,0.10057602040816327,0.2073896373270119,0.5327604415580409
initial-071626/dpc-035-LB-D3-2025-10-03-122127-250912792D-thin-3-4.png,initial-071626,dpc-035-LB-D3-2025-10-03-122127-250912792D-thin-3-4.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-035-LB-D3-2025-10-03-122127-250912792D-thin-3-4.png,dense,some rouleaux,3,2,0.39095880102040814,136.0,0.5438832781382075,0.1783228467044454,4.062276055110704,83.12990284680859,0.15678048469387756,0.2941433225008386,0.8794498693971335
initial-071626/dpc-015-LB-D3-2025-10-03-122127-250912792D-thin-3-4.png,initial-071626,dpc-015-LB-D3-2025-10-03-122127-250912792D-thin-3-4.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-015-LB-D3-2025-10-03-122127-250912792D-thin-3-4.png,slightly dense,slight rouleaux,2,1,0.5273408163265306,132.0,0.5359467476164107,0.24471422093094353,3.911241042649494,123.82568642230419,0.1811405612244898,0.322767991846169,0.24223154211164116
initial-071626/dpc-174-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,initial-071626,dpc-174-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-174-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,dense,rouleaux,3,3,0.4961297193877551,133.0,0.5579797753825447,0.21929937000317054,3.8887187601029423,92.44842147081447,0.1816327806122449,0.12753287630621998,0.19838134640158692
initial-071626/dpc-145-LB-D12-2026-03-04-114809-250817119ELWA-Negative-2.png,initial-071626,dpc-145-LB-D12-2026-03-04-114809-250817119ELWA-Negative-2.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-145-LB-D12-2026-03-04-114809-250817119ELWA-Negative-2.png,dense,rouleaux,3,3,0.5248395408163266,132.0,0.5606658293358757,0.23057994439628063,3.9400322864443855,123.20707127085058,0.2060061224489796,0.180371495339127,0.4512694660551497
initial-071626/dpc-134-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,initial-071626,dpc-134-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-134-LB-D3-2025-08-30-125645-25021889-D-thin-1.png,dense,rouleaux,3,3,0.5397394132653062,132.0,0.5689263298562315,0.23266744979751974,3.95345010206535,98.71865840396111,0.18641989795918368,0.1505176496215963,0.2882389161550034
initial-071626/dpc-198-KIT-62501056.png,initial-071626,dpc-198-KIT-62501056.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-198-KIT-62501056.png,slightly dense,some rouleaux,2,2,0.2450001275510204,167.0,0.537524958329482,0.1133064441984404,3.8670112482120413,65.96151706935072,0.13571479591836735,0.33230041853118364,0.9577342658319581
initial-071626/dpc-168-KIT-62500666.png,initial-071626,dpc-168-KIT-62500666.png,C:\Users\owlem\Projects\fov-filtering-tool\crowding-crenation\data\raw\initial-dataset-071626\dpc-168-KIT-62500666.png,monolayer,slight rouleaux,1,1,0.23979413265306124,170.0,0.5766204054878323,0.10152394264905001,3.836374249326915,113.38899048876775,0.18682984693877552,0.07917519092313931,0.1808875927238455
